2021-07-14 12:49:01.249: Dataset name: ml-100k
The number of users: 943
The number of items: 1682
The number of ratings: 100000
Average actions of users: 106.04
Average actions of items: 59.45
The sparsity of the dataset: 93.695331%
2021-07-14 12:49:01.249: 

NeuRec hyperparameters:
recommender=CDAE
config_dir=./conf
gpu_id=0
gpu_mem=0.5
data.input.path=dataset
data.input.dataset=ml-100k
data.column.format=UIRT
data.convert.separator='\t'
user_min=0
item_min=0
splitter=ratio
ratio=0.8
by_time=False
metric=["Precision", "Recall", "NDCG", "MAP", "MRR"]
topk=[10, 20]
group_view=None
rec.evaluate.neg=0
test_batch_size=128
num_thread=8

CDAE's hyperparameters:
lr=0.001
reg=0.001
hidden_dim=64
dropout=0.5
num_neg=5
epochs=5000
batch_size=32
hidden_act=sigmoid
loss_func=sigmoid_cross_entropy

2021-07-14 12:49:01.969: metrics:	Precision@10	Precision@20	Recall@10   	Recall@20   	NDCG@10     	NDCG@20     	MAP@10      	MAP@20      	MRR@10      	MRR@20      
2021-07-14 12:49:31.204: epoch 29:	0.18769906  	0.15318160  	0.10692468  	0.16647780  	0.21789603  	0.21371587  	0.11642669  	0.09665618  	0.42111167  	0.42846665  
2021-07-14 12:49:32.164: epoch 30:	0.18822920  	0.15079570  	0.10573228  	0.16327040  	0.21609740  	0.20942521  	0.11636411  	0.09430349  	0.41205639  	0.41903529  
2021-07-14 12:49:33.127: epoch 31:	0.19098632  	0.15323472  	0.10905746  	0.16230525  	0.21735975  	0.21159689  	0.11645214  	0.09718911  	0.40519986  	0.41120416  
2021-07-14 12:49:34.110: epoch 32:	0.19013801  	0.15477224  	0.11267261  	0.16766119  	0.21741062  	0.21383202  	0.11442331  	0.09642707  	0.41113859  	0.41644442  
2021-07-14 12:49:35.077: epoch 33:	0.18907757  	0.15418911  	0.10668994  	0.15752240  	0.21539374  	0.20927516  	0.11481608  	0.09558654  	0.40752873  	0.41347060  
2021-07-14 12:49:36.047: epoch 34:	0.18822917  	0.15577969  	0.10423224  	0.16543518  	0.21865945  	0.21467334  	0.11777583  	0.09764988  	0.42668211  	0.43320781  
2021-07-14 12:49:37.017: epoch 35:	0.18865342  	0.15424199  	0.10798205  	0.16655126  	0.21572800  	0.21217228  	0.11408364  	0.09569097  	0.40949368  	0.41542032  
2021-07-14 12:49:37.973: epoch 36:	0.18525998  	0.15609784  	0.10496797  	0.17052133  	0.21366264  	0.21402138  	0.11292345  	0.09573286  	0.41703075  	0.42407703  
2021-07-14 12:49:38.936: epoch 37:	0.19098631  	0.15360573  	0.11222405  	0.16208833  	0.21632235  	0.21057419  	0.11410815  	0.09586824  	0.40417597  	0.40973890  
2021-07-14 12:49:39.906: epoch 38:	0.18791097  	0.15084869  	0.10997161  	0.16301288  	0.21531032  	0.20928988  	0.11416318  	0.09442329  	0.40574181  	0.41207540  
2021-07-14 12:49:40.906: epoch 39:	0.18801714  	0.15334077  	0.10171220  	0.15996152  	0.21775636  	0.21204512  	0.11861902  	0.09698118  	0.42141607  	0.42952141  
2021-07-14 12:49:41.879: epoch 40:	0.19109234  	0.15477233  	0.11217304  	0.16509977  	0.21660019  	0.21047214  	0.11423773  	0.09444208  	0.40867418  	0.41430122  
2021-07-14 12:49:42.845: epoch 41:	0.18780507  	0.15509033  	0.10986989  	0.16910394  	0.21689163  	0.21499985  	0.11374067  	0.09667770  	0.42039773  	0.42681533  
2021-07-14 12:49:43.817: epoch 42:	0.18865339  	0.15562066  	0.10898115  	0.16793789  	0.21621178  	0.21321788  	0.11471104  	0.09608123  	0.41510975  	0.42101812  
2021-07-14 12:49:44.781: epoch 43:	0.18865345  	0.15127282  	0.10635917  	0.15888606  	0.21906267  	0.21066505  	0.11853302  	0.09620707  	0.42309126  	0.42935559  
2021-07-14 12:49:45.739: epoch 44:	0.19003199  	0.15169701  	0.10429443  	0.15761301  	0.21934122  	0.21125484  	0.11907294  	0.09746712  	0.41929549  	0.42555019  
2021-07-14 12:49:46.703: epoch 45:	0.18123026  	0.15673403  	0.10191131  	0.17249781  	0.21110244  	0.21430269  	0.11203197  	0.09514953  	0.41477022  	0.42395923  
