2021-07-14 13:34:34.029: Dataset name: Amazon-video-games
The number of users: 2816
The number of items: 2141
The number of ratings: 52158
Average actions of users: 18.52
Average actions of items: 24.36
The sparsity of the dataset: 99.134889%
2021-07-14 13:34:34.029: 

NeuRec hyperparameters:
recommender=CDAE
config_dir=./conf
gpu_id=0
gpu_mem=0.5
data.input.path=/content/drive/MyDrive/recommender_datasets/datasets/
data.save.path=/content/drive/MyDrive/recommender_datasets/model_predictions/CDAE/
data.input.dataset=Amazon-video-games
data.rating.format=bin
data.fold=1
data.column.format=UIR
data.convert.separator=','
user_min=0
item_min=0
splitter=given
ratio=0.8
by_time=False
metric=["Precision", "Recall", "NDCG", "MAP", "MRR"]
topk=[10, 20]
group_view=None
rec.evaluate.neg=0
test_batch_size=128
num_thread=8

CDAE's hyperparameters:
lr=0.001
reg=0.001
hidden_dim=64
dropout=0.5
num_neg=5
epochs=250
batch_size=32
hidden_act=sigmoid
loss_func=sigmoid_cross_entropy

2021-07-14 13:34:34.882: metrics:	Precision@10	Precision@20	Recall@10   	Recall@20   	NDCG@10     	NDCG@20     	MAP@10      	MAP@20      	MRR@10      	MRR@20      
2021-07-14 13:34:37.388: epoch 0:	0.01113597  	0.00975788  	0.03300796  	0.05475629  	0.02208693  	0.02973250  	0.01100663  	0.01249814  	0.03243207  	0.03683682  
2021-07-14 13:34:39.589: epoch 1:	0.01191809  	0.01048414  	0.03327309  	0.05919317  	0.02323598  	0.03198480  	0.01159597  	0.01336553  	0.03575952  	0.04053671  
2021-07-14 13:34:41.772: epoch 2:	0.01188085  	0.01001859  	0.03418749  	0.05635564  	0.02387067  	0.03152002  	0.01191099  	0.01343321  	0.03763458  	0.04187046  
2021-07-14 13:34:43.977: epoch 3:	0.01054006  	0.00994410  	0.02957723  	0.05550110  	0.02082603  	0.02991735  	0.01062691  	0.01246594  	0.03211505  	0.03751203  
2021-07-14 13:34:46.184: epoch 4:	0.01128494  	0.00998135  	0.03160336  	0.05547357  	0.02324403  	0.03155170  	0.01205083  	0.01376776  	0.03769871  	0.04251667  
2021-07-14 13:34:48.407: epoch 5:	0.01113597  	0.00945994  	0.03180014  	0.05430007  	0.02362666  	0.03130122  	0.01247657  	0.01398304  	0.03796428  	0.04256408  
2021-07-14 13:34:50.635: epoch 6:	0.01180636  	0.01040964  	0.03354897  	0.05917976  	0.02463538  	0.03333222  	0.01287864  	0.01460665  	0.03964192  	0.04455449  
2021-07-14 13:34:52.842: epoch 7:	0.01128494  	0.01057724  	0.03253254  	0.05848004  	0.02335700  	0.03250736  	0.01185254  	0.01361650  	0.03811460  	0.04369442  
2021-07-14 13:34:55.031: epoch 8:	0.01072628  	0.00960891  	0.02977556  	0.05275859  	0.02101724  	0.02903257  	0.01050969  	0.01210060  	0.03233705  	0.03700183  
2021-07-14 13:34:57.225: epoch 9:	0.01162014  	0.01039102  	0.03267875  	0.05774064  	0.02377179  	0.03245251  	0.01219916  	0.01393940  	0.03819367  	0.04299358  
2021-07-14 13:34:59.427: epoch 10:	0.01195534  	0.01065173  	0.03278118  	0.05857398  	0.02348133  	0.03229070  	0.01181431  	0.01357885  	0.03692087  	0.04167409  
2021-07-14 13:35:01.640: epoch 11:	0.00986967  	0.00994410  	0.02782709  	0.05386185  	0.01947217  	0.02890540  	0.00959776  	0.01151347  	0.03164657  	0.03728830  
2021-07-14 13:35:03.831: epoch 12:	0.01121046  	0.01042827  	0.03161718  	0.05706673  	0.02227745  	0.03133844  	0.01115401  	0.01305289  	0.03497341  	0.03982720  
2021-07-14 13:35:06.010: epoch 13:	0.01072628  	0.00996273  	0.03062921  	0.05532117  	0.02216283  	0.03086977  	0.01121283  	0.01295699  	0.03654210  	0.04175666  
2021-07-14 13:35:08.188: epoch 14:	0.01184360  	0.00999997  	0.03155235  	0.05464188  	0.02227609  	0.03016171  	0.01092893  	0.01255885  	0.03484215  	0.03900070  
2021-07-14 13:35:10.374: epoch 15:	0.01124770  	0.01037240  	0.03068461  	0.05770436  	0.02289144  	0.03215409  	0.01163492  	0.01350305  	0.03811593  	0.04338865  
2021-07-14 13:35:12.571: epoch 16:	0.01094975  	0.00990686  	0.03109461  	0.05420156  	0.02275474  	0.03083898  	0.01186640  	0.01336820  	0.03620614  	0.04111737  
2021-07-14 13:35:14.782: epoch 17:	0.01206707  	0.01044690  	0.03305122  	0.05899613  	0.02346077  	0.03218534  	0.01136697  	0.01320894  	0.03892156  	0.04341048  
2021-07-14 13:35:17.013: epoch 18:	0.01080077  	0.00994411  	0.03127244  	0.05473781  	0.02214559  	0.03051723  	0.01119129  	0.01288818  	0.03539890  	0.04021909  
2021-07-14 13:35:19.201: epoch 19:	0.01202982  	0.01042827  	0.03280463  	0.05699795  	0.02337634  	0.03171117  	0.01144602  	0.01314543  	0.03768331  	0.04213546  
2021-07-14 13:35:21.457: epoch 20:	0.01147116  	0.01054000  	0.03125226  	0.05682258  	0.02248582  	0.03139242  	0.01123339  	0.01295648  	0.03660460  	0.04152111  
2021-07-14 13:35:23.686: epoch 21:	0.01154565  	0.01057725  	0.03320724  	0.05801959  	0.02426086  	0.03301827  	0.01251083  	0.01422543  	0.03969051  	0.04466150  
2021-07-14 13:35:25.861: epoch 22:	0.01176911  	0.01026068  	0.03348889  	0.05613191  	0.02460169  	0.03249861  	0.01276997  	0.01427946  	0.04036874  	0.04504592  
2021-07-14 13:35:28.053: epoch 23:	0.01284918  	0.01117314  	0.03434768  	0.06107568  	0.02583508  	0.03501583  	0.01323600  	0.01511719  	0.04356686  	0.04851184  
2021-07-14 13:35:30.231: epoch 24:	0.01303540  	0.01048414  	0.03599675  	0.05625512  	0.02526981  	0.03231438  	0.01219232  	0.01353391  	0.04122091  	0.04526646  
2021-07-14 13:35:32.404: epoch 25:	0.01236502  	0.01122901  	0.03416026  	0.06068197  	0.02465588  	0.03395019  	0.01242032  	0.01423165  	0.03960938  	0.04498656  
2021-07-14 13:35:34.590: epoch 26:	0.01433892  	0.01216010  	0.03778008  	0.06337796  	0.02861238  	0.03748324  	0.01466646  	0.01632046  	0.04807958  	0.05326110  
2021-07-14 13:35:36.777: epoch 27:	0.01415270  	0.01266289  	0.03772901  	0.06812070  	0.02814106  	0.03854986  	0.01416357  	0.01626981  	0.04718275  	0.05267723  
2021-07-14 13:35:39.005: epoch 28:	0.01445064  	0.01184352  	0.03809152  	0.06329657  	0.02726070  	0.03584846  	0.01348231  	0.01513041  	0.04261474  	0.04764538  
2021-07-14 13:35:41.185: epoch 29:	0.01489757  	0.01299808  	0.03744977  	0.06769077  	0.02864650  	0.03896285  	0.01448256  	0.01655412  	0.04817874  	0.05373627  
2021-07-14 13:35:43.378: epoch 30:	0.01631282  	0.01357535  	0.04301247  	0.07198729  	0.03103740  	0.04084426  	0.01549545  	0.01743442  	0.04850318  	0.05350196  
2021-07-14 13:35:45.563: epoch 31:	0.01672251  	0.01383606  	0.04507377  	0.07416517  	0.03359859  	0.04349485  	0.01721926  	0.01915890  	0.05479769  	0.06015223  
2021-07-14 13:35:47.741: epoch 32:	0.01709494  	0.01443195  	0.04486415  	0.07544793  	0.03270559  	0.04325471  	0.01628449  	0.01838464  	0.05216061  	0.05770658  
2021-07-14 13:35:49.938: epoch 33:	0.01649904  	0.01487887  	0.04432197  	0.08038784  	0.03250096  	0.04486163  	0.01630013  	0.01880900  	0.05352931  	0.05979250  
2021-07-14 13:35:52.155: epoch 34:	0.01802603  	0.01540028  	0.04712017  	0.08238136  	0.03406366  	0.04603714  	0.01682443  	0.01935839  	0.05342643  	0.05919729  
2021-07-14 13:35:54.454: epoch 35:	0.01944128  	0.01540028  	0.05079736  	0.08016882  	0.03686937  	0.04712638  	0.01866855  	0.02082118  	0.05704091  	0.06240464  
2021-07-14 13:35:56.659: epoch 36:	0.02048410  	0.01562374  	0.05389054  	0.08385932  	0.03860294  	0.04857445  	0.01882249  	0.02099669  	0.06097249  	0.06543870  
2021-07-14 13:35:58.857: epoch 37:	0.01977647  	0.01633136  	0.05165264  	0.08629622  	0.03772066  	0.04964702  	0.01891136  	0.02140883  	0.05927298  	0.06536278  
2021-07-14 13:36:01.059: epoch 38:	0.02156416  	0.01728107  	0.05917922  	0.09196503  	0.04207850  	0.05347795  	0.02125260  	0.02361443  	0.06477535  	0.07030073  
2021-07-14 13:36:03.245: epoch 39:	0.02271872  	0.01864047  	0.06074291  	0.09735829  	0.04446609  	0.05732772  	0.02276200  	0.02559462  	0.06943632  	0.07556012  
